length, selection, insertion, merge
10, 45, 45, 15
25, 300, 300, 54
40, 780, 780, 100
55, 1485, 1485, 151
70, 2415, 2415, 205
85, 3570, 3570, 255
100, 4950, 4950, 316
115, 6555, 6555, 379
130, 8385, 8385, 451
145, 10440, 10440, 498
160, 12720, 12720, 560
175, 15225, 15225, 618
190, 17955, 17955, 691
205, 20910, 20910, 752
220, 24090, 24090, 824
235, 27495, 27495, 898
250, 31125, 31125, 983
265, 34980, 34980, 1046
280, 39060, 39060, 1100
295, 43365, 43365, 1159
310, 47895, 47895, 1225
325, 52650, 52650, 1295
340, 57630, 57630, 1360
355, 62835, 62835, 1435
370, 68265, 68265, 1513
385, 73920, 73920, 1602
400, 79800, 79800, 1664
415, 85905, 85905, 1737
430, 92235, 92235, 1811
445, 98790, 98790, 1898
460, 105570, 105570, 1976
475, 112575, 112575, 2061
490, 119805, 119805, 2151
505, 127260, 127260, 2250
520, 134940, 134940, 2324
535, 142845, 142845, 2375
550, 150975, 150975, 2435
565, 159330, 159330, 2500
580, 167910, 167910, 2572
595, 176715, 176715, 2635
610, 185745, 185745, 2711
625, 195000, 195000, 2788
640, 204480, 204480, 2880
655, 214185, 214185, 2938
670, 224115, 224115, 3011
685, 234270, 234270, 3085
700, 244650, 244650, 3172
715, 255255, 255255, 3250
730, 266085, 266085, 3335
745, 277140, 277140, 3425
760, 288420, 288420, 3524
775, 299925, 299925, 3607
790, 311655, 311655, 3673
805, 323610, 323610, 3748
820, 335790, 335790, 3828
835, 348195, 348195, 3915
850, 360825, 360825, 3993
865, 373680, 373680, 4084
880, 386760, 386760, 4176
895, 400065, 400065, 4279
910, 413595, 413595, 4355
925, 427350, 427350, 4442
940, 441330, 441330, 4532
955, 455535, 455535, 4632
970, 469965, 469965, 4727
985, 484620, 484620, 4826
1000, 499500, 499500, 4932
1015, 514605, 514605, 5043
1030, 529935, 529935, 5133
1045, 545490, 545490, 5183
1060, 561270, 561270, 5244
1075, 577275, 577275, 5307
1090, 593505, 593505, 5381
1105, 609960, 609960, 5443
1120, 626640, 626640, 5520
1135, 643545, 643545, 5593
1150, 660675, 660675, 5681
1165, 678030, 678030, 5744
1180, 695610, 695610, 5816
1195, 713415, 713415, 5890
1210, 731445, 731445, 5975
1225, 749700, 749700, 6056
1240, 768180, 768180, 6140
