length, selection, insertion, merge
10, 45, 15, 22
25, 300, 38, 72
40, 780, 66, 125
55, 1485, 82, 180
70, 2415, 108, 241
85, 3570, 127, 311
100, 4950, 160, 376
115, 6555, 183, 445
130, 8385, 209, 502
145, 10440, 229, 586
160, 12720, 259, 662
175, 15225, 282, 742
190, 17955, 295, 795
205, 20910, 308, 876
220, 24090, 350, 958
235, 27495, 373, 1029
250, 31125, 392, 1091
265, 34980, 419, 1161
280, 39060, 435, 1271
295, 43365, 466, 1360
310, 47895, 508, 1445
325, 52650, 505, 1514
340, 57630, 537, 1594
355, 62835, 572, 1682
370, 68265, 585, 1754
385, 73920, 622, 1828
400, 79800, 625, 1910
415, 85905, 644, 1990
430, 92235, 672, 2087
445, 98790, 709, 2149
460, 105570, 745, 2246
475, 112575, 755, 2319
490, 119805, 761, 2375
505, 127260, 798, 2446
520, 134940, 808, 2522
535, 142845, 823, 2617
550, 150975, 847, 2730
565, 159330, 901, 2843
580, 167910, 921, 2932
595, 176715, 941, 3058
610, 185745, 969, 3111
625, 195000, 961, 3205
640, 204480, 1017, 3277
655, 214185, 1036, 3373
670, 224115, 1029, 3473
685, 234270, 1070, 3581
700, 244650, 1110, 3674
715, 255255, 1109, 3744
730, 266085, 1146, 3829
745, 277140, 1186, 3897
760, 288420, 1205, 3959
775, 299925, 1194, 4043
790, 311655, 1209, 4161
805, 323610, 1260, 4257
820, 335790, 1289, 4344
835, 348195, 1300, 4419
850, 360825, 1310, 4521
865, 373680, 1379, 4614
880, 386760, 1359, 4716
895, 400065, 1420, 4784
910, 413595, 1434, 4862
925, 427350, 1480, 4979
940, 441330, 1485, 5047
955, 455535, 1500, 5083
970, 469965, 1527, 5181
985, 484620, 1524, 5260
1000, 499500, 1574, 5318
1015, 514605, 1587, 5384
1030, 529935, 1635, 5474
1045, 545490, 1643, 5619
1060, 561270, 1652, 5722
1075, 577275, 1681, 5832
1090, 593505, 1709, 5956
1105, 609960, 1755, 6064
1120, 626640, 1760, 6154
1135, 643545, 1770, 6233
1150, 660675, 1808, 6358
1165, 678030, 1802, 6449
1180, 695610, 1869, 6582
1195, 713415, 1878, 6710
1210, 731445, 1933, 6795
1225, 749700, 1921, 6884
1240, 768180, 1918, 6966
