length, selection, insertion, merge
10, 45, 29, 25
25, 300, 200, 82
40, 780, 396, 165
55, 1485, 767, 253
70, 2415, 1268, 349
85, 3570, 1694, 436
100, 4950, 2536, 539
115, 6555, 3350, 629
130, 8385, 4179, 752
145, 10440, 5355, 852
160, 12720, 6060, 985
175, 15225, 7184, 1100
190, 17955, 8839, 1211
205, 20910, 11230, 1324
220, 24090, 12664, 1451
235, 27495, 13972, 1554
250, 31125, 16973, 1680
265, 34980, 18485, 1817
280, 39060, 20352, 1927
295, 43365, 22664, 2062
310, 47895, 24448, 2173
325, 52650, 25300, 2305
340, 57630, 28586, 2426
355, 62835, 31165, 2577
370, 68265, 33812, 2699
385, 73920, 38139, 2839
400, 79800, 39939, 2964
415, 85905, 45886, 3060
430, 92235, 45815, 3218
445, 98790, 49053, 3356
460, 105570, 53036, 3513
475, 112575, 56125, 3622
490, 119805, 59508, 3759
505, 127260, 65501, 3912
520, 134940, 68138, 4033
535, 142845, 73424, 4176
550, 150975, 73127, 4318
565, 159330, 76524, 4449
580, 167910, 89974, 4610
595, 176715, 86334, 4743
610, 185745, 95085, 4869
625, 195000, 100644, 5028
640, 204480, 105652, 5183
655, 214185, 106043, 5332
670, 224115, 109754, 5469
685, 234270, 120845, 5586
700, 244650, 126299, 5761
715, 255255, 129114, 5903
730, 266085, 127347, 6039
745, 277140, 141043, 6180
760, 288420, 150781, 6287
775, 299925, 145732, 6466
790, 311655, 153667, 6601
805, 323610, 161041, 6771
820, 335790, 165367, 6918
835, 348195, 175045, 7057
850, 360825, 178639, 7216
865, 373680, 183733, 7368
880, 386760, 194450, 7517
895, 400065, 203595, 7659
910, 413595, 207395, 7762
925, 427350, 213064, 7958
940, 441330, 215044, 8076
955, 455535, 228494, 8234
970, 469965, 235145, 8419
985, 484620, 242884, 8571
1000, 499500, 248177, 8706
1015, 514605, 251612, 8883
1030, 529935, 265814, 9011
1045, 545490, 275657, 9166
1060, 561270, 283044, 9360
1075, 577275, 287150, 9480
1090, 593505, 292111, 9610
1105, 609960, 313180, 9765
1120, 626640, 309774, 9957
1135, 643545, 313402, 10100
1150, 660675, 333088, 10258
1165, 678030, 344062, 10413
1180, 695610, 349543, 10552
1195, 713415, 372956, 10729
1210, 731445, 369514, 10947
1225, 749700, 377346, 11035
1240, 768180, 369860, 11209
